Genus	Specie	Subgenus	Author	Year
Anopheles	garnhami	Cellia	Edwards	1930
Anopheles	georgianus	Anopheles	King	1939
Anopheles	gibbinsi	Cellia	Evans	1935
Anopheles	gigas	Anopheles	Giles	1901
Anopheles	gilesi	Lophopodomyia	Neiva	1908
Anopheles	goeldii	Nyssorhynchus	Rozeboom & Gabaldon	1941
Anopheles	gomezdelatorrei	Lophopodomyia	Levi-Castillo	1955
Anopheles	gonzalezrinconesi	Kerteszia	Cova, Garcia, Pulido, F. & Escalante, de Ugueto	1977
Anopheles	grabhamii	Anopheles	Theobald	1901
Anopheles	grassei	Cellia	Grjebine	1953
Anopheles	greeni	Cellia	Rattanarithikul & Harbach	1991
Anopheles	grenieri	Cellia	Grjebine	1964
Anopheles	griveaudi	Cellia	Grjebine	1961
Anopheles	guarani	Nyssorhynchus	Shannon	1928
Anopheles	guarao	Anopheles	Anduze & Capdevielle	1949
Anopheles	hackeri	Cellia	Edwards	1921
Anopheles	hailarensis	Anopheles	Xu & Luo	1998
Anopheles	halophylus	Nyssorhynchus	Silva, do, Nascimento & Lourenço-de-Oliveira	2002
Anopheles	hamoni	Cellia	Adam	1962
Anopheles	hancocki	Cellia	Edwards	1929
Anopheles	hargreavesi	Cellia	Evans	1927
Anopheles	harperi	Cellia	Evans	1936
Anopheles	harrisoni	Cellia	Harbach & Manguin	2007
Anopheles	hectoris	Anopheles	Giaquinto, Mira	1931
Anopheles	heiheensis	Anopheles	Ma	1981
Anopheles	hermsi	Anopheles	Barr & Guptavanij	1989
Anopheles	hervyi	Cellia	Brunhes, le Goff & Geoffroy	1999
Anopheles	hilli	Cellia	Woodhill & Lee	1944
Anopheles	hinesorum	Cellia	Schmidt	2001
Anopheles	hodgkini	Anopheles	Reid	1962
Anopheles	homunculus	Kerteszia	Komp	1937
Anopheles	hughi	Cellia	Lambert & Coetzee	1982
Anopheles	hunteri	Anopheles	Strickland	1916
Anopheles	hyrcanus	Anopheles	Pallas	1771
Anopheles	implexus	Christya	Theobald	1903
Anopheles	incognitus	Cellia	Brug	1931
Anopheles	indefinitus	Cellia	Ludlow	1904
Anopheles	ininii	Nyssorhynchus	Senevet & Abonnenc	1938
Anopheles	insulaeflorum	Anopheles	Swellengrebel & Swellengrebel, de Graaf	1920
Anopheles	interruptus	Anopheles	Puri	1929
Anopheles	introlatus	Cellia	Colless	1957
Anopheles	inundatus	Anopheles	Reinert	1997
Anopheles	irenicus	Cellia	Schmidt	2003
Anopheles	jamesii	Cellia	Theobald	1901
Anopheles	janconnae	Nyssorhynchus	Wilkerson & Sallum	2009
Anopheles	japonicus	Anopheles	Yamada	1918
Anopheles	jebudensis	Cellia	Froud	1944
Anopheles	jeyporiensis	Cellia	James	1902
Anopheles	judithae	Anopheles	Zavortink	1969
Anopheles	karwari	Cellia	James	1903
Anopheles	keniensis	Cellia	Evans	1931
Anopheles	kingi	Cellia	Christophers	1923
Anopheles	kleini	Anopheles	Rueda	2005
Anopheles	kochi	Cellia	Dönitz	1901
Anopheles	kokhani	Cellia	Vythilingam, Jeffery & Harbach	2007
Anopheles	kolambuganensis	Cellia	Baisas	1932
Anopheles	koliensis	Cellia	Owen	1945
Anopheles	kompi	Stethomyia	Edwards	1930
Anopheles	konderi	Nyssorhynchus	Galvão & Damasceno	1942
Anopheles	koreicus	Anopheles	Yamada & Watanabe	1918
Anopheles	kosiensis	Cellia	Coetzee, Segerman & Hunt	1987
Anopheles	kweiyangensis	Anopheles	Yao & Wu	1944
Anopheles	kyondawensis	Baimaia	Abraham	1947
Anopheles	labranchiae	Anopheles	Falleroni	1926
Anopheles	lacani	Cellia	Grjebine	1953
Anopheles	laneanus	Kerteszia	Corrêa & Cerqueira	1944
Anopheles	lanei	Nyssorhynchus	Galvão & Franco, do, Amaral	1938
Anopheles	latens	Cellia	Sallum & Peyton	2005
Anopheles	leesoni	Cellia	Evans	1931
Anopheles	lepidotus	Kerteszia	Zavortink	1973
Anopheles	lesteri	Anopheles	Baisas & Hu	1936
Anopheles	letabensis	Cellia	Lambert & Coetzee	1982
Anopheles	letifer	Anopheles	Sandosham	1944
Anopheles	leucosphyrus	Cellia	Dönitz	1901
Anopheles	lewisi	Anopheles	Ludlow	1920
Anopheles	liangshanensis	Anopheles	Kang, Tan, Cao, Cheng, Yang & Huang	1984
Anopheles	limosus	Cellia	King	1932
Anopheles	lindesayi	Anopheles	Giles	1900
Anopheles	listeri	Cellia	de Meillon	1931
Anopheles	litoralis	Cellia	King	1932
Anopheles	lloreti	Cellia	Gil, Collado	1936
Anopheles	longipalpis	Cellia	Theobald	1903
Anopheles	longirostris	Cellia	Brug	1928
Anopheles	lounibosi	Cellia	Gillies & Coetzee	1987
Anopheles	lovettae	Cellia	Evans	1934
Anopheles	ludlowae	Cellia	Theobald	1903
Anopheles	lungae	Cellia	Belkin & Schlosser	1944
Anopheles	lutzii	Nyssorhynchus	Cruz	1901
Anopheles	macarthuri	Cellia	Colless	1956
Anopheles	machardyi	Cellia	Edwards	1930
Anopheles	maculatus	Cellia	Theobald	1901
Anopheles	maculipalpis	Cellia	Giles	1902
Anopheles	maculipennis	Anopheles	Meigen	1818
Anopheles	maculipes	Anopheles	Theobald	1903
Anopheles	majidi	Cellia	Young & Majid	1928
Anopheles	malefactor	Anopheles	Dyar & Knab	1907
Anopheles	maliensis	Cellia	Bailly-Choumara & Adam	1959
Anopheles	manalangi	Anopheles	Mendoza	1940
Anopheles	mangyanus	Cellia	Banks	1906
Anopheles	marajoara	Nyssorhynchus	Galvão & Damasceno	1942
Anopheles	marshallii	Cellia	Theobald	1903
Anopheles	marteri	Anopheles	Senevet & Prunnelle	1927
Anopheles	martinius	Anopheles	Shingarev	1926
Anopheles	mascarensis	Cellia	de Meillon	1947
Anopheles	mattogrossensis	Anopheles	Lutz & Neiva	1911
Anopheles	maverlius	Anopheles	Reinert	1997
Anopheles	medialis	Anopheles	Harbach	2018
Anopheles	mediopunctatus	Anopheles	Lutz	1903
Anopheles	melanoon	Anopheles	Hackett	1934
Anopheles	melas	Cellia	Theobald	1903
Anopheles	menglangensis	Anopheles	Ma	1981
Anopheles	meraukensis	Cellia	Venhuis	1932
Anopheles	merus	Cellia	Dönitz	1902
Anopheles	messeae	Anopheles	Falleroni	1926
Anopheles	millecampsi	Cellia	Lips	1960
Anopheles	milloti	Cellia	Grjebine & Lacan	1953
Anopheles	minimus	Cellia	Theobald	1901
Anopheles	minor	Anopheles	da Costa, Lima	1929
Anopheles	mirans	Cellia	Sallum & Peyton	2005
Anopheles	moghulensis	Cellia	Christophers	1924
Anopheles	montanus	Anopheles	Stanton & Wacker	1917
Anopheles	mortiauxi	Cellia	Edwards	1938
Anopheles	moucheti	Cellia	Evans	1925
Anopheles	mousinhoi	Cellia	de Meillon & Pereira	1940
Anopheles	multicinctus	Cellia	Edwards	1930
Anopheles	multicolor	Cellia	Cambouliu	1902
Anopheles	murphyi	Cellia	Gillies & de Meillon	1968
Anopheles	namibiensis	Anopheles	Coetzee	1984
Anopheles	natalensis	Cellia	Hill & Haydon	1907
Anopheles	nataliae	Cellia	Belkin	1945
Anopheles	neivai	Kerteszia	Howard, Dyar & Knab	1913
Anopheles	nemophilous	Cellia	Peyton & Ramalingam	1988
Anopheles	neomaculipalpus	Anopheles	Curry	1931
Anopheles	nigerrimus	Anopheles	Giles	1900
Anopheles	nigritarsis	Nyssorhynchus	Chagas	1907
Anopheles	nilgiricus	Anopheles	Christophers	1924
Anopheles	nili	Cellia	Theobald	1904
Anopheles	nimbus	Stethomyia	Theobald	1902
Anopheles	nimpe	Anopheles	Nguyen, Tran & Harbach	2000
Anopheles	nitidus	Anopheles	Harrison, Scanlon & Reid	1973
Anopheles	nivipes	Cellia	Theobald	1903
Anopheles	njombiensis	Cellia	Peters	1955
Anopheles	noniae	Anopheles	Reid	1963
Anopheles	notanandai	Cellia	Rattanarithikul & Green	1987
Anopheles	notleyi	Cellia	van Someren	1949
Anopheles	novaguinensis	Cellia	Venhuis	1933
Anopheles	nuneztovari	Nyssorhynchus	Gabaldon	1940
Anopheles	obscurus	Anopheles	Grünberg	1905
Anopheles	occidentalis	Anopheles	Dyar & Knab	1906
Anopheles	oiketorakras	Lophopodomyia	Osorno-Mesa	1947
Anopheles	okuensis	Christya	Brunhes, le Goff & Geoffroy	1997
Anopheles	omorii	Anopheles	Sakakibara	1959
Anopheles	oreios	Cellia	Bangs & Harbach	2014
Anopheles	oryzalimnetes	Nyssorhynchus	Wilkerson & Motoki	2009
Anopheles	oswaldoi	Nyssorhynchus	Peryassú	1922
Anopheles	ovengensis	Anopheles	Awono-Ambene, Kengne, Simard, Antonio-Nkonkjio & Fontenille	2004
Anopheles	pallidus	Cellia	Theobald	1901
Anopheles	palmatus	Anopheles	Rodenwaldt	1926
Anopheles	paltrinierii	Cellia	Shidrawi & Gillies	1988
Anopheles	paludis	Anopheles	Theobald	1900
Anopheles	pampanai	Cellia	Büttiker & Beales	1959
Anopheles	papuensis	Anopheles	Dobrotworsky	1957
Anopheles	parangensis	Cellia	Ludlow	1914
Anopheles	parapunctipennis	Anopheles	Martini	1932
Anopheles	parensis	Cellia	Gillies	1962
Anopheles	parvus	Nyssorhynchus	Chagas	1907
Anopheles	pattoni	Cellia	Christophers	1926
Anopheles	pauliani	Cellia	Grjebine	1953
Anopheles	peditaeniatus	Anopheles	Leicester	1908
Anopheles	perplexens	Anopheles	Ludlow	1907
Anopheles	persiensis	Anopheles	Linton, Sedaghat & Harbach	2003
Anopheles	peryassui	Anopheles	Dyar & Knab	1908
Anopheles	petragnani	Anopheles	del, Vecchio	1939
Anopheles	peytoni	Anopheles	Kulasekera, Harrison & Amerasinghe	1989
Anopheles	pharoensis	Cellia	Theobald	1901
Anopheles	philippinensis	Cellia	Ludlow	1902
Anopheles	pholidotus	Kerteszia	Zavortink	1973
Anopheles	pictipennis	Nyssorhynchus	Philippi	1865
Anopheles	pilinotum	Anopheles	Harrison & Scanlon	1974
Anopheles	pinjaurensis	Anopheles	Barraud	1932
Anopheles	pleccau	Anopheles	Koidzumi	1924
Anopheles	plumbeus	Anopheles	Stephens	1828
Anopheles	pollicaris	Anopheles	Reid	1962
Anopheles	powderi	Anopheles	Zavortink	1970
Anopheles	powelli	Anopheles	Lee	1944
Anopheles	prachongae	Anopheles	Rattanarithikul & Harrison	2017
Anopheles	pretoriensis	Cellia	Theobald	1903
Anopheles	pristinus	Nyssorhynchus	Nagaki & Sallum	2010
Anopheles	pseudobarbirostris	Anopheles	Ludlow	1902
Anopheles	pseudojamesi	Cellia	Strickland & Chowdhury	1927
Anopheles	pseudomaculipes	Anopheles	Chagas	1908
Anopheles	pseudopictus	Anopheles	Grassi	1899
Anopheles	pseudopunctipennis	Anopheles	Theobald	1901
Anopheles	pseudosinensis	Anopheles	Baisas	1935
Anopheles	pseudostigmaticus	Anopheles	Dobrotworsky	1957
Anopheles	pseudosundaicus	Cellia	Tyagi, et al.	2009
Anopheles	pseudotibiamaculatus	Lophopodomyia	Galvão & Barretto	1941
Anopheles	pseudowillmori	Cellia	Theobald	1910
Anopheles	pujutensis	Cellia	Colless	1948
Anopheles	pulcherrimus	Cellia	Theobald	1902
Anopheles	pullus	Anopheles	Yamada	1937
Anopheles	punctimacula	Anopheles	Dyar & Knab	1906
Anopheles	punctipennis	Anopheles	Say	1823
Anopheles	punctulatus	Cellia	Dönitz	1901
Anopheles	pursati	Anopheles	Laveran	1902
Anopheles	quadriannulatus	Cellia	Theobald	1911
Anopheles	quadrimaculatus	Anopheles	Say	1824
Anopheles	rachoui	Anopheles	Galvão	1952
Anopheles	radama	Cellia	de Meillon	1943
Anopheles	rageaui	Cellia	Mattingly & Adam	1954
