Genus	Specie	Subgenus	Author	Year
Aedes	desmotes	Stegomyia	Giles	1904
Aedes	detritus	Ochlerotatus	Haliday	1833
Aedes	dialloi	Catageiomyia	Hamon & Brengues	1965
Aedes	diantaeus	Ochlerotatus	Howard , Dyar & Knab	1913
Aedes	diazi	Protomacleaya	Schick	1970
Aedes	dissimilierodes	Kenknightia	Dong , Zhou & Dong	2002
Aedes	dissimilis	Kenknightia	Leicester	1908
Aedes	dmitryi	Aedes	Gornostaeva	2005
Aedes	dobodurus	Patmarksia	King & Hoogstraal	1946
Aedes	dobrotworskyi	Finlaya	Marks	1958
Aedes	domesticus	Aedimorphus	Theobald	1901
Aedes	doonii	Bruceharrisonius	Wattal , Bhatia & Kalra	1958
Aedes	dorsalis	Ochlerotatus	Meigen	1830
Aedes	dorseyi	Downsiomyia	Knight	1946
Aedes	dufouri	Ochlerotatus	Hamon	1953
Aedes	duplex	Ochlerotatus	Martini	1926
Aedes	dupreei	Ochlerotatus	Coquillett	1904
Aedes	durbanensis	Aedimorphus	Theobald	1903
Aedes	dybasi	Stegomyia	Bohart	1957
Aedes	dzeta	Ochlerotatus	Séguy	1924
Aedes	ealaensis	Stegomyia	Huang	2004
Aedes	eatoni	subgenus uncertain	Edwards	1916
Aedes	ebogoensis	Aedimorphus	Rickenbach & Ferrara	1965
Aedes	echinus	Dahliana	Edwards	1920
Aedes	ecuadoriensis	Howardina	Berlin	1969
Aedes	edgari	Ochlerotatus	Stone & Rosen	1952
Aedes	edwardsi	Stegomyia	Barraud	1923
Aedes	eidsvoldensis	Ochlerotatus	Mackerras	1927
Aedes	elchoensis	Macleaya	Taylor	1929
Aedes	eldridgei	Bothaella	Reinert	1973
Aedes	eleanorae	Howardina	Berlin	1969
Aedes	ellinorae	Neomelaniconion	Edwards	1941
Aedes	elsiae	Collessius	Barraud	1923
Aedes	embuensis	Hopkinsius	Edwards	1930
Aedes	epactius	Georgecraigius	Dyar & Knab	1908
Aedes	eritreae	Aedimorphus	Lewis	1942
Aedes	esoensis	Aedes	Yamada	1921
Aedes	ethiopiensis	Stegomyia	Huang	2004
Aedes	eucephalaeus	Ochlerotatus	Dyar	1918
Aedes	euedes	Ochlerotatus	Howard , Dyar & Knab	1913
Aedes	euiris	Ochlerotatus	Dyar	1922
Aedes	euplocamus	Ochlerotatus	Dyar & Knab	1906
Aedes	excrucians	Ochlerotatus	Walker	1856
Aedes	explorator	Ochlerotatus	Marks	1964
Aedes	falabreguesi	Catageiomyia	Hamon	1957
Aedes	fascipalpis	Diceromyia	Edwards	1912
Aedes	feegradei	Phagomyia	Barraud	1934
Aedes	fengi	Luius	Edwards	1935
Aedes	ferinus	Mucidus	Knight	1947
Aedes	fijiensis	Finlaya	Marks	1947
Aedes	filicis	Catageiomyia	Ingram & de Meillon	1927
Aedes	fimbripes	Geoskusea	Edwards	1924
Aedes	fitchii	Ochlerotatus	Felt & Young	1904
Aedes	flavescens	Ochlerotatus	Müller	1764
Aedes	flavicollis	Diceromyia	Edwards	1928
Aedes	flavifrons	Ochlerotatus	Skuse	1889
Aedes	flavimargo	Neomelaniconion	Edwards	1941
Aedes	flavipennis	Finlaya	Giles	1904
Aedes	flavopictus	Stegomyia	Yamada	1921
Aedes	fluviatilis	Georgecraigius	Lutz	1904
Aedes	fontenillei	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	formosensis	Hulecoeteomyia	Yamada	1921
Aedes	fowleri	Aedimorphus	de Charmoy	1908
Aedes	franciscoi	Petermattinglyius	Mattingly	1959
Aedes	franclemonti	Finlaya	Belkin	1962
Aedes	fraseri	Stegomyia	Edwards	1912
Aedes	freycinetiae	Finlaya	Laird	1957
Aedes	fryeri	Coetzeemyia	Theobald	1912
Aedes	fulgens	Zavortinkius	Edwards	1917
Aedes	fulvithorax	Howardina	Lutz	1904
Aedes	fulvus	Ochlerotatus	Wiedemann	1828
Aedes	fumidus	Lorrainea	Edwards	1928
Aedes	furcifer	Diceromyia	Edwards	1913
Aedes	fuscinervis	Neomelaniconion	Edwards	1914
Aedes	fuscipalpis	Finlaya	Belkin	1962
Aedes	fuscitarsis	Finlaya	Belkin	1962
Aedes	futunae	Stegomyia	Belkin	1962
Aedes	gabriel	Protomacleaya	Schick	1970
Aedes	gaffigani	Kenknightia	Reinert	1990
Aedes	gahnicola	Finlaya	Marks	1947
Aedes	galindoi	Protomacleaya	Schick	1970
Aedes	galloisi	Stegomyia	Yamada	1921
Aedes	galloisioides	Stegomyia	Liu & Lu	1984
Aedes	ganapathi	Downsiomyia	Colless	1958
Aedes	gandaensis	Stegomyia	Huang	2004
1995	gandarai	Polyleptiomyia	da	Cunha,Ramos,Capela&Ribeiro,
Aedes	gani	Finlaya	Bonne Wepster	1940
Aedes	gardnerii	Stegomyia	Ludlow	1905
Aedes	geminus	Aedes	Peus	1970
Aedes	geniculatus	Dahliana	Olivier	1791
Aedes	geoffroyi	Zavortinkius	Reinert	1999
Aedes	geoskusea	Levua	Amos	1944
Aedes	gibbinsi	Aedimorphus	Edwards	1935
1985	gilcolladoi	Dahliana	Sánchez Covisa , Villa , Rodríguez , Rodríguez & Guillé	Llera,
Aedes	gilli	Himalaius	Barraud	1924
Aedes	gilliesi	Albuginosus	van Someren	1962
Aedes	gombakensis	Christophersiomyia	Mattingly	1959
Aedes	gonguoensis	Jihlienius	Gong & Lu	1986
Aedes	gouldi	Aedimorphus	Reinert	1972
Aedes	grabhami	Howardina	Berlin	1969
Aedes	gracilelineatus	subgenus uncertain	Bonne Wepster	1937
Aedes	grahamii	Mucidus	Theobald	1909
Aedes	grantii	Stegomyia	Theobald	1901
Aedes	grassei	Paulianius	Doucet	1951
Aedes	greenii	Bruceharrisonius	Theobald	1903
Aedes	grenieri	Catageiomyia	Hamon , Service , Adam & Taufflieb	1961
Aedes	gressitti	Finlaya	Bohart	1957
Aedes	griffithi	Ayurakitia	Thurman	1954
Aedes	grjebinei	Pseudalbuginosus	Hamon , Taufflieb & Maillot	1957
Aedes	grossbecki	Ochlerotatus	Dyar & Knab	1906
Aedes	guamensis	Stegomyia	Farner & Bohart	1944
Aedes	guatemala	Howardina	Berlin	1969
Aedes	gubernatoris	Phagomyia	Giles	1901
Aedes	guerrero	Howardina	Berlin	1969
Aedes	gurneyi	Stegomyia	Stone & Bohart	1944
Aedes	gutzevichi	Ochlerotatus	Dubitsky & Deshevykh	1978
Aedes	hakanssoni	Stegomyia	Knight & Hurlbut	1949
Aedes	hakusanensis	Ochlerotatus	Yamaguti & Tamaboko	1954
Aedes	hancocki	Vansomerenis	van Someren	1962
Aedes	hansfordi	Stegomyia	Huang	1997
Aedes	harbachi	Kenknightia	Reinert	1990
Aedes	harinasutai	Downsiomyia	Knight	1978
Aedes	harperi	Danielsia	Knight	1948
Aedes	harrisoni	Ochlerotatus	Muspratt	1953
Aedes	harveyi	Hulecoeteomyia	Barraud	1923
Aedes	hastatus	Ochlerotatus	Dyar	1922
Aedes	hatorii	Collessius	Yamada	1921
Aedes	haworthi	Albuginosus	Edwards	1923
Aedes	hebrideus	Stegomyia	Edwards	1926
Aedes	heischi	Stegomyia	van Someren	1951
Aedes	helenae	Bothaella	Reinert	1973
Aedes	hendersoni	Protomacleaya	Cockerell	1918
Aedes	hensilli	Stegomyia	Farner	1945
Aedes	hesperonotius	Ochlerotatus	Marks	1959
Aedes	heteropus	Protomacleaya	Dyar	1921
Aedes	hexodontus	Ochlerotatus	Dyar	1916
Aedes	hirsutus	Paulianius	Brunhes & Boussès	2017
Aedes	hirsutus	Aedimorphus	Theobald	1901
Aedes	hodgkini	Ochlerotatus	Marks	1959
Aedes	hogsbackensis	Stegomyia	Huang	2004
Aedes	hoguei	Stegomyia	Belkin	1962
Aedes	hokkaidensis	Ochlerotatus	Tanaka , Mizusawa & Saugstad	1979
Aedes	hollandius	Patmarksia	King & Hoogstraal	1946
Aedes	hollingsheadi	Finlaya	Belkin	1962
Aedes	holocinctus	Aedimorphus	Edwards	1941
Aedes	homoeopus	Protomacleaya	Dyar	1922
Aedes	hoogstraali	Scutomyia	Knight & Rozeboom	1946
Aedes	hopkinsi	Catageiomyia	Edwards	1936
Aedes	horotoi	Finlaya	Taylor	1972
Aedes	horrescens	Stegomyia	Edwards	1935
Aedes	hortator	Sallumia	Dyar & Knab	1907
Aedes	huangae	Zavortinkius	Reinert	1999
Aedes	hui	Finlaya	Bohart	1957
Aedes	humeralis	Macleaya	Edwards	1922
Aedes	hungaricus	Ochlerotatus	Mihályi	1955
Aedes	hurlbuti	Bruceharrisonius	Lien	1967
Aedes	ibis	Christophersiomyia	Barraud	1931
Aedes	idanus	Protomacleaya	Schick	1970
Aedes	idjenensis	Downsiomyia	Brug	1934
Aedes	impatibilis	Scutomyia	Walker	1860
Aedes	imperfectus	Ochlerotatus	Dobrotworsky	1962
Aedes	impiger	Ochlerotatus	Walker	1848
Aedes	implicatus	Ochlerotatus	Vockeroth	1954
Aedes	impostor	Protomacleaya	Schick	1970
Aedes	imprimens	Edwardsaedes	Walker	1861
Aedes	inaequalis	Howardina	Grabham	1907
Aedes	incomptus	Ochlerotatus	Arnell	1976
Aedes	increpitus	Ochlerotatus	Dyar	1916
Aedes	indonesiae	Cancraedes	Mattingly	1958
Aedes	inermis	Downsiomyia	Colless	1958
Aedes	inexpectatus	Ochlerotatus	Bonne Wepster	1948
Aedes	infirmatus	Ochlerotatus	Dyar & Knab	1906
Aedes	ingrami	Hopkinsius	Edwards	1930
Aedes	inquinatus	Phagomyia	Edwards	1922
Aedes	insolens	Catageiomyia	Edwards	1936
Aedes	insolitus	Protomacleaya	Coquillett	1906
Aedes	intermedius	Ochlerotatus	Danilov & Gornostaeva	1987
Aedes	interruptus	Zavortinkius	Reinert	1999
Aedes	intrudens	Ochlerotatus	Dyar	1919
Aedes	ioliota	Howardina	Dyar & Knab	1913
Aedes	irritans	Catageiomyia	Theobald	1901
Aedes	iwi	Phagomyia	Marks	1955
Aedes	iyengari	Petermattinglyius	Edwards	1923
